
"QS119EW - Households by deprivation dimensions"
"ONS Crown Copyright Reserved [from Nomis on 17 December 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 ward","All categories: Classification of household deprivation","Household is not deprived in any dimension","Household is deprived in 1 dimension","Household is deprived in 2 dimensions","Household is deprived in 3 dimensions","Household is deprived in 4 dimensions"
"E05008006 : Shotton",3990,1254,1119,1170,429,18
"E05008007 : Spennymoor and Middlestone",4258,1699,1248,1000,295,16
"E05008008 : Stanley",4166,1314,1255,1188,395,14
"E05008009 : Tanfield",3573,1493,1102,773,199,6
"E05008010 : Thornley",3084,878,888,981,319,18
"E05008011 : Trimdon",3192,1104,1011,829,241,7
"E05008012 : Tudhoe",4083,1466,1230,1063,311,13
"E05008013 : Weardale",3700,1631,1259,641,162,7
"E05008014 : West Auckland",3739,1532,1126,830,238,13
"E05008015 : Willington",4005,1504,1207,996,287,11
"E05008016 : Wingate",4387,1747,1298,1040,286,16
"E05008017 : Woodhouse Close",3809,1147,1166,1071,389,36
"E05001465 : Brus",2891,718,924,892,345,12
"E05001466 : Burn Valley",2522,936,852,537,185,12
"E05001467 : Dyke House",2186,534,672,668,295,17
"E05001468 : Elwick",830,450,261,98,19,2
"E05001469 : Fens",2159,796,778,498,80,7
"E05001470 : Foggy Furze",2044,717,636,524,156,11
"E05001471 : Grange",2334,842,706,571,201,14
"E05001472 : Greatham",952,402,295,203,52,0
"E05001473 : Hart",2899,1484,834,504,74,3
"E05001474 : Owton",2516,589,820,777,312,18
"E05001475 : Park",2446,1324,785,296,40,1
"E05001476 : Rift House",2772,726,871,908,248,19
"E05001477 : Rossmere",2792,872,898,802,207,13
"E05001478 : St Hilda",2610,773,808,747,268,14
"E05001479 : Seaton",2862,1247,987,526,101,1
"E05001480 : Stranton",3133,838,953,896,408,38
"E05001481 : Throston",2486,1103,741,523,113,6
"E05001482 : Acklam",2498,1202,866,376,50,4
"E05001483 : Ayresome",2567,806,838,659,252,12
"E05001484 : Beckfield",2230,518,729,735,230,18
"E05001485 : Beechwood",2426,613,821,683,291,18
"E05001486 : Brookfield",2482,1076,853,484,68,1
"E05001487 : Clairville",2228,651,739,608,215,15
"E05001488 : Coulby Newham",3827,1595,1083,866,264,19
"E05001489 : Gresham",3820,942,1335,1064,441,38
"E05001490 : Hemlington",2595,762,862,697,256,18
"E05001491 : Kader",2118,930,714,392,76,6
"E05001492 : Ladgate",2343,796,804,568,168,7
"E05001493 : Linthorpe",3719,1794,1211,597,112,5
"E05001494 : North Ormesby and Brambles Farm",2815,605,925,882,375,28
"E05001495 : Marton",2028,1055,609,308,55,1
"E05001496 : Marton West",2205,1256,652,256,40,1
"E05001497 : Middlehaven",2057,431,657,602,331,36
"E05001498 : Nunthorpe",1899,1073,609,194,23,0
"E05001499 : Pallister",2474,566,782,790,322,14
"E05001500 : Park",2339,883,763,517,158,18
"E05001501 : Park End",2531,596,805,795,313,22
"E05001502 : Stainton and Thornton",1229,547,383,231,67,1
"E05001503 : Thorntree",2481,454,793,777,421,36
"E05001504 : University",2292,578,782,636,261,35
"E05008018 : Alnwick",2138,915,679,425,113,6
"E05008019 : Amble",2066,728,691,522,119,6
"E05008020 : Amble West with Warkworth",1893,879,643,325,46,0
"E05008021 : Ashington Central",2321,729,743,633,206,10
"E05008022 : Bamburgh",2375,946,876,461,87,5
"E05008023 : Bedlington Central",1903,818,582,405,91,7
"E05008024 : Bedlington East",2154,768,703,535,144,4
"E05008025 : Bedlington West",2374,1139,743,401,84,7
"E05008026 : Bellingham",1824,840,642,293,48,1
"E05008027 : Berwick East",2188,760,829,489,100,10
"E05008028 : Berwick North",2104,828,761,409,99,7
"E05008029 : Berwick West with Ord",1708,682,583,371,70,2
"E05008030 : Bothal",2016,858,605,444,105,4
"E05008031 : Bywell",1913,1092,549,237,35,0
"E05008032 : Chevington with Longhorseley",1947,856,601,406,79,5
"E05008033 : Choppington",2122,797,676,503,139,7
"E05008034 : College",2437,805,765,663,196,8
"E05008035 : Corbridge",1876,1002,599,237,37,1
"E05008036 : Cowpen",1875,530,608,545,179,13
"E05008037 : Cramlington East",2422,836,761,604,209,12
"E05008038 : Cramlington Eastfield",1986,1038,590,289,66,3
"E05008039 : Cramlington North",2003,1296,565,137,5,0
"E05008040 : Cramlington South East",1884,810,645,372,54,3
"E05008041 : Cramlington Village",2030,876,670,401,75,8
"E05008042 : Cramlington West",2209,878,735,441,146,9
"E05008043 : Croft",2198,667,685,602,230,14
"E05008044 : Haltwhistle",2219,866,766,489,94,4
"E05008045 : Hartley",2259,1009,715,429,100,6
"E05008046 : Haydon",1962,834,634,404,83,7
"E05008047 : Haydon and Hadrian",1896,905,649,300,41,1
"E05008048 : Hexham Central with Acomb",2084,902,721,363,89,9
"E05008049 : Hexham East",1830,837,567,327,93,6
"E05008050 : Hexham West",1811,1083,525,185,16,2
"E05008051 : Hirst",2452,672,812,710,248,10
"E05008052 : Holywell",2368,989,768,502,99,10
"E05008053 : Humshaugh",1984,1004,642,285,52,1
"E05008054 : Isabella",2238,666,695,676,191,10
"E05008055 : Kitty Brewster",2237,806,694,545,180,12
"E05008056 : Lesbury",2322,1160,746,348,68,0
"E05008057 : Longhoughton",1788,918,567,260,40,3
"E05008058 : Lynemouth",2079,800,715,456,100,8
"E05008059 : Morpeth Kirkhill",2299,1177,696,340,79,7
"E05008060 : Morpeth North",1919,994,601,277,44,3
"E05008061 : Morpeth Stobhill",1883,849,621,331,71,11
"E05008062 : Newbiggin Central and East",2191,712,670,615,180,14
"E05008063 : Newsham",1992,742,646,466,128,10
"E05008064 : Norham and Islandshires",2061,872,739,382,61,7
"E05008065 : Pegswood",1711,770,505,359,72,5
"E05008066 : Plessey",1737,729,572,372,59,5
"E05008067 : Ponteland East",2046,1071,681,260,31,3
"E05008068 : Ponteland North",1859,1014,562,239,37,7
"E05008069 : Ponteland South with Heddon",1737,966,583,174,14,0
"E05008070 : Ponteland West",1682,969,543,156,13,1
"E05008071 : Prudhoe East",2559,1049,847,530,125,8
"E05008072 : Prudhoe West",1974,1074,605,226,68,1
"E05008073 : Rothbury",2435,1204,807,354,65,5
"E05008074 : Seaton with Newbiggin West",1884,705,606,436,127,10
"E05008075 : Seghill with Seaton Delaval",2507,999,819,558,127,4
"E05008076 : Shilbottle",2113,1034,691,336,50,2
"E05008077 : Sleekburn",1834,608,629,468,123,6
"E05008078 : South Blyth",1853,1069,532,225,26,1
"E05008079 : South Tynedale",2043,1098,649,256,39,1
"E05008080 : Stakeford",2135,901,733,433,62,6
"E05008081 : Stocksfield and Broomhaugh",2043,1172,617,230,24,0
"E05008082 : Ulgham",2262,1120,749,339,52,2
"E05008083 : Wensleydale",2251,908,689,505,140,9
"E05008084 : Wooler",2029,821,707,420,77,4
"E05001505 : Brotton",2998,1095,944,721,226,12
"E05001506 : Coatham",2634,832,876,661,228,37
"E05001507 : Dormanstown",2953,957,1006,792,188,10
"E05001508 : Eston",3270,1025,1031,906,293,15
"E05001509 : Grangetown",2080,464,678,613,301,24
"E05001510 : Guisborough",3564,1348,1129,864,207,16
"E05001511 : Hutton",3057,1722,939,350,44,2
"E05001512 : Kirkleatham",3153,947,976,903,296,31
"E05001513 : Lockwood",922,296,263,284,73,6
"E05001514 : Loftus",2793,900,910,747,222,14
"E05001515 : Longbeck",2914,1479,920,460,51,4
"E05001516 : Newcomen",1865,593,631,493,137,11
"E05001517 : Normanby",3025,1239,1001,635,142,8
"E05001518 : Ormesby",2682,952,985,608,128,9
"E05001519 : St Germain's",2858,1157,987,616,93,5
"E05001520 : Saltburn",2865,1233,899,552,156,25
"E05001521 : Skelton",3189,1275,997,728,183,6
"E05001522 : South Bank",2786,783,883,810,284,26
"E05001523 : Teesville",2920,898,993,812,206,11
"E05001524 : West Dyke",3129,1587,997,472,71,2
"E05001525 : Westworth",1931,922,628,313,63,5
"E05001526 : Zetland",2017,813,678,433,89,4
"E05001527 : Billingham Central",3131,1010,1028,864,214,15
"E05001528 : Billingham East",3086,991,1033,858,194,10
"E05001529 : Billingham North",3700,1987,1099,526,84,4
"E05001530 : Billingham South",2744,951,928,657,195,13
"E05001531 : Billingham West",2416,1077,869,430,39,1
"E05001532 : Bishopsgarth and Elm Tree",2930,1284,924,621,95,6
"E05001533 : Eaglescliffe",4338,2455,1234,570,78,1
"E05001534 : Fairfield",2456,1139,823,427,66,1
"E05001535 : Grangefield",2653,1287,883,418,63,2
"E05001536 : Hardwick",2844,771,883,838,336,16
"E05001537 : Hartburn",2778,1420,917,398,43,0
"E05001538 : Ingleby Barwick East",3806,2518,931,312,43,2
"E05001539 : Ingleby Barwick West",3712,2603,874,206,27,2
"E05001540 : Mandale and Victoria",4681,1594,1484,1150,422,31
"E05001541 : Newtown",2970,909,998,744,303,16
"E05001542 : Northern Parishes",1284,817,343,114,9,1
"E05001543 : Norton North",3004,1094,1028,677,188,17
"E05001544 : Norton South",3099,1161,1043,705,179,11
"E05001545 : Norton West",2808,1403,908,447,47,3
"E05001546 : Parkfield and Oxbridge",3378,1223,1122,728,265,40
"E05001547 : Roseworth",3044,858,983,940,250,13
"E05001548 : Stainsby Hill",2722,904,878,734,195,11
"E05001549 : Stockton Town Centre",2998,578,916,981,468,55
"E05001550 : Village",3074,1121,1002,727,208,16
"E05001551 : Western Parishes",1358,727,392,203,33,3
"E05001552 : Yarm",4145,2424,1169,480,70,2
"E05001067 : Birtley",3599,1351,1153,864,221,10
"E05001068 : Blaydon",4454,1858,1374,946,257,19
"E05001069 : Bridges",4327,1665,1390,861,374,37
"E05001070 : Chopwell and Rowlands Gill",4209,1604,1301,1033,255,16
"E05001071 : Chowdene",4109,1473,1356,1004,261,15
"E05001072 : Crawcrook and Greenside",3881,1851,1191,692,140,7
"E05001073 : Deckham",4428,1521,1339,1091,445,32
"E05001074 : Dunston and Teams",4359,1531,1294,1044,460,30
"E05001075 : Dunston Hill and Whickham East",3874,1829,1213,691,125,16
"E05001076 : Felling",4206,1151,1284,1233,501,37
"E05001077 : High Fell",4181,1178,1296,1213,475,19
"E05001078 : Lamesley",3984,1363,1255,1056,293,17
"E05001079 : Lobley Hill and Bensham",4726,1656,1454,1128,450,38
"E05001080 : Low Fell",3836,2056,1110,552,110,8
"E05001081 : Pelaw and Heworth",4069,1605,1247,941,260,16
"E05001082 : Ryton, Crookhill and Stella",3552,1580,1095,733,141,3
"E05001083 : Saltwell",4165,1761,1264,802,318,20
"E05001084 : Wardley and Leam Lane",3605,1352,1132,880,233,8
"E05001085 : Whickham North",3811,1558,1198,802,234,19
"E05001086 : Whickham South and Sunniside",3652,1784,1225,533,103,7
"E05001087 : Windy Nook and Whitehills",4375,1426,1377,1216,345,11
"E05001088 : Winlaton and High Spen",3752,1456,1298,813,174,11
"E05001089 : Benwell and Scotswood",5426,1612,1738,1444,582,50
"E05001090 : Blakelaw",4763,1570,1556,1232,370,35
"E05001091 : Byker",5835,1566,1914,1540,728,87
"E05001092 : Castle",4260,2096,1287,723,145,9
"E05001093 : Dene",3885,2204,1102,499,77,3
"E05001094 : Denton",4574,1540,1517,1208,291,18
"E05001095 : East Gosforth",4375,2621,1137,487,123,7
"E05001096 : Elswick",5116,1277,1670,1444,654,71
"E05001097 : Fawdon",4474,1439,1434,1148,416,37
"E05001098 : Fenham",4441,1547,1504,1033,343,14
"E05001099 : Kenton",4880,1822,1500,1100,424,34
"E05001100 : Lemington",4490,1790,1462,974,246,18
"E05001101 : Newburn",4270,1636,1325,998,292,19
"E05001102 : North Heaton",3795,1920,1102,658,110,5
"E05001103 : North Jesmond",3668,2365,975,260,62,6
"E05001104 : Ouseburn",4194,1708,1382,764,298,42
"E05001105 : Parklands",4086,2388,1176,408,105,9
"E05001106 : South Heaton",4350,2237,1117,713,258,25
"E05001107 : South Jesmond",4086,2379,1141,457,95,14
"E05001108 : Walker",5382,1177,1650,1738,756,61
"E05001109 : Walkergate",4353,1444,1432,1082,357,38
"E05001110 : Westerhope",4103,1747,1386,856,109,5
"E05001111 : Westgate",4869,1522,1872,1010,395,70
"E05001112 : West Gosforth",4099,2519,1066,405,100,9
"E05001113 : Wingrove",4645,1777,1546,917,366,39
"E05001114 : Woolsington",4734,1601,1517,1211,372,33
"E05001115 : Battle Hill",4758,2000,1573,962,217,6
"E05001116 : Benton",4676,2131,1431,907,201,6
"E05001117 : Camperdown",4620,1860,1460,989,286,25
"E05001118 : Chirton",5405,1717,1795,1361,491,41
"E05001119 : Collingwood",4885,1849,1670,1061,290,15
"E05001120 : Cullercoats",4255,1924,1403,789,130,9
"E05001121 : Howdon",5029,1629,1565,1372,433,30
"E05001122 : Killingworth",4187,2014,1270,727,169,7
"E05001123 : Longbenton",5061,1998,1566,1141,337,19
"E05001124 : Monkseaton North",3741,2228,1048,394,63,8
"E05001125 : Monkseaton South",4313,2059,1311,779,150,14
"E05001126 : Northumberland",3582,1545,1089,783,157,8
"E05001127 : Preston",3892,1908,1254,623,99,8
"E05001128 : Riverside",5839,1946,1776,1459,599,59
"E05001129 : St Mary's",3587,1960,1166,421,39,1
"E05001130 : Tynemouth",5276,2743,1442,880,188,23
"E05001131 : Valley",4714,2142,1348,947,264,13
"E05001132 : Wallsend",5217,2102,1622,1104,362,27
"E05001133 : Weetslade",4259,1710,1457,925,163,4
"E05001134 : Whitley Bay",3999,2137,1136,599,111,16
"E05001135 : Beacon and Bents",4316,1459,1417,1046,359,35
"E05001136 : Bede",3410,1035,1095,974,287,19
"E05001137 : Biddick and All Saints",3968,1058,1301,1203,375,31
"E05001138 : Boldon Colliery",4119,1680,1247,943,238,11
"E05001139 : Cleadon and East Boldon",3621,1959,1158,449,51,4
"E05001140 : Cleadon Park",3059,940,1030,821,251,17
"E05001141 : Fellgate and Hedworth",3419,1253,1138,787,229,12
"E05001142 : Harton",3720,1284,1237,969,222,8
"E05001143 : Hebburn North",3945,1628,1228,823,253,13
"E05001144 : Hebburn South",3476,1235,1192,813,226,10
"E05001145 : Horsley Hill",4035,1563,1351,890,220,11
"E05001146 : Monkton",3683,1384,1198,853,239,9
"E05001147 : Primrose",3594,1091,1123,1013,336,31
"E05001148 : Simonside and Rekendyke",4379,1198,1409,1221,511,40
"E05001149 : Westoe",3638,1678,1132,651,168,9
"E05001150 : West Park",3765,1652,1211,674,215,13
"E05001151 : Whitburn and Marsden",3323,1267,1090,780,181,5
"E05001152 : Whiteleas",3697,1167,1148,1037,318,27
"E05001153 : Barnes",4562,1828,1527,971,222,14
"E05001154 : Castle",4640,1334,1465,1376,441,24
"E05001155 : Copt Hill",4789,1840,1451,1149,337,12
"E05001156 : Doxford",4134,1713,1261,914,229,17
"E05001157 : Fulwell",4973,2349,1633,860,123,8
"E05001158 : Hendon",5798,1488,1807,1671,768,64
"E05001159 : Hetton",4982,1523,1608,1386,440,25
"E05001160 : Houghton",4885,1761,1508,1269,334,13
"E05001161 : Millfield",4839,1796,1549,1096,366,32
"E05001162 : Pallion",4290,1175,1432,1243,407,33
"E05001163 : Redhill",5063,1295,1668,1498,576,26
"E05001164 : Ryhope",4454,1651,1382,1117,289,15
"E05001165 : St Anne's",4528,1449,1414,1249,382,34
"E05001166 : St Chad's",4441,1511,1412,1210,299,9
"E05001167 : St Michael's",5065,2120,1679,989,241,36
"E05001168 : St Peter's",4931,2002,1595,1025,288,21
"E05001169 : Sandhill",5115,1380,1625,1535,538,37
"E05001170 : Shiney Row",5320,2092,1645,1205,356,22
"E05001171 : Silksworth",4562,1542,1538,1138,331,13
"E05001172 : Southwick",4870,1313,1496,1409,606,46
"E05001173 : Washington Central",4846,1994,1559,1001,285,7
"E05001174 : Washington East",4363,1904,1347,893,209,10
"E05001175 : Washington North",5062,1576,1721,1308,427,30
"E05001176 : Washington South",4384,2096,1333,763,180,12
"E05001177 : Washington West",4862,2058,1568,984,246,6
"E05001620 : Audley",3141,536,1054,1056,454,41
"E05001621 : Bastwell",2123,470,705,628,290,30
"E05001622 : Beardwood with Lammack",2184,1170,736,244,34,0
"E05001623 : Corporation Park",2234,837,734,483,165,15
"E05001624 : Earcroft",1949,653,600,483,200,13
"E05001625 : East Rural",826,435,245,117,28,1
"E05001626 : Ewood",3022,1021,1006,722,242,31
"E05001627 : Fernhurst",2227,1337,621,221,46,2
"E05001628 : Higher Croft",3127,1090,967,743,305,22
"E05001629 : Little Harwood",2432,695,833,673,211,20
"E05001630 : Livesey with Pleasington",2825,1396,922,441,61,5
"E05001631 : Marsh House",2784,1180,866,552,171,15
"E05001632 : Meadowhead",2465,909,778,593,172,13
"E05001633 : Mill Hill",2905,861,954,766,294,30
"E05001634 : North Turton with Tockholes",1822,1148,480,171,22,1
"E05001635 : Queen's Park",2467,756,830,579,281,21
"E05001636 : Roe Lee",2581,1131,874,473,97,6
"E05001637 : Shadsworth with Whitebirk",3334,763,1083,955,482,51
"E05001638 : Shear Brow",2352,645,769,647,258,33
"E05001639 : Sudell",3150,836,1058,877,351,28
"E05001640 : Sunnyhurst",2680,1188,809,499,166,18
"E05001641 : Wensley Fold",2980,674,979,903,375,49
"E05001642 : Whitehall",1743,868,518,279,74,4
"E05001643 : Anchorsholme",3160,1043,1018,893,193,13
"E05001644 : Bispham",2912,1056,1031,658,146,21
"E05001645 : Bloomfield",3132,544,928,972,562,126
"E05001646 : Brunswick",3297,879,1019,907,426,66
"E05001647 : Claremont",3595,711,1064,1101,599,120
"E05001648 : Clifton",3194,888,1028,885,360,33
"E05001649 : Greenlands",3082,1151,1048,682,183,18
"E05001650 : Hawes Side",3245,988,1115,877,250,15
"E05001651 : Highfield",2902,995,1007,708,177,15
"E05001652 : Ingthorpe",3220,1059,1005,837,298,21
"E05001653 : Layton",3073,1117,998,719,221,18
"E05001654 : Marton",3015,1318,983,564,132,18
"E05001655 : Norbreck",2753,1055,971,633,90,4
"E05001656 : Park",3273,924,943,923,442,41
"E05001657 : Squires Gate",2741,1050,889,610,165,27
"E05001658 : Stanley",2991,1063,1024,742,156,6
"E05001659 : Talbot",3075,748,966,825,409,127
"E05001660 : Tyldesley",2975,1008,936,727,272,32
"E05001661 : Victoria",3039,877,997,815,315,35
"E05001662 : Warbreck",2776,941,885,662,237,51
"E05001663 : Waterloo",2917,893,845,725,352,102
"E05008610 : Alderley Edge",2197,1288,616,240,50,3
"E05008611 : Alsager",5183,2533,1667,839,139,5
"E05008612 : Audlem",1972,1019,631,273,41,8
"E05008613 : Bollington",3770,2024,1117,530,93,6
"E05008614 : Brereton Rural",1985,1042,614,284,41,4
"E05008615 : Broken Cross and Upton",3537,2014,989,431,97,6
"E05008616 : Bunbury",1917,1006,596,268,45,2
"E05008617 : Chelford",1697,964,513,199,21,0
"E05008618 : Congleton East",5658,2780,1664,953,238,23
"E05008619 : Congleton West",5903,2838,1791,1057,206,11
"E05008620 : Crewe Central",2557,741,911,633,257,15
"E05008621 : Crewe East",6197,2355,2070,1429,312,31
"E05008622 : Crewe North",2060,707,738,488,122,5
"E05008623 : Crewe St Barnabas",2303,699,773,609,210,12
"E05008624 : Crewe South",4843,1817,1702,1022,269,33
"E05008625 : Crewe West",4447,1692,1505,961,269,20
"E05008626 : Dane Valley",3891,2232,1150,459,47,3
"E05008627 : Disley",1902,1031,624,212,34,1
"E05008628 : Gawsworth",1656,874,528,221,30,3
"E05008629 : Handforth",4241,1872,1335,800,222,12
"E05008630 : Haslington",3284,1728,1009,476,68,3
"E05008631 : High Legh",1857,1049,549,226,31,2
"E05008632 : Knutsford",5910,3178,1697,819,201,15
"E05008633 : Leighton",1959,1278,501,158,22,0
"E05008634 : Macclesfield Central",4507,2263,1328,714,181,21
"E05008635 : Macclesfield East",1988,1059,556,306,63,4
"E05008636 : Macclesfield Hurdsfield",2185,850,677,508,140,10
"E05008637 : Macclesfield South",3666,1578,1173,702,190,23
"E05008638 : Macclesfield Tytherington",3720,2152,1111,401,52,4
"E05008639 : Macclesfield West and Ivy",3586,1488,1103,779,202,14
"E05008640 : Middlewich",5671,2848,1675,903,221,24
"E05008641 : Mobberley",1962,1099,593,228,41,1
"E05008642 : Nantwich North and West",4179,1749,1365,828,215,22
"E05008643 : Nantwich South and Stapeley",3765,2154,1046,483,79,3
"E05008644 : Odd Rode",3652,1771,1133,645,102,1
"E05008645 : Poynton East and Pott Shrigley",3297,1793,1050,413,41,0
"E05008646 : Poynton West and Adlington",3473,1916,1054,441,53,9
"E05008647 : Prestbury",1814,1118,526,149,20,1
"E05008648 : Sandbach Elworth",1837,1023,534,242,36,2
"E05008649 : Sandbach Ettiley Heath and Wheelock",1816,1038,483,244,46,5
"E05008650 : Sandbach Heath and East",1995,857,619,450,65,4
"E05008651 : Sandbach Town",2192,1121,656,339,73,3
"E05008652 : Shavington",1757,796,584,340,36,1
"E05008653 : Sutton",1834,997,548,242,47,0
"E05008654 : Willaston and Rope",1995,1113,607,252,22,1
"E05008655 : Wilmslow Dean Row",1921,1226,509,154,31,1
"E05008656 : Wilmslow East",1864,1185,515,151,13,0
"E05008657 : Wilmslow Lacey Green",1866,923,592,279,64,8
"E05008658 : Wilmslow West and Chorley",4133,2532,1090,444,60,7
"E05008659 : Wistaston",3927,2008,1272,582,62,3
"E05008660 : Wrenbury",1846,964,566,270,43,3
"E05008661 : Wybunbury",2067,1241,587,213,24,2
"E05008662 : Blacon",5830,1867,1875,1480,563,45
"E05008663 : Boughton",2884,1326,906,486,155,11
"E05008664 : Chester City",2218,921,679,456,135,27
"E05008665 : Chester Villages",3425,1975,1014,391,40,5
"E05008666 : Davenham and Moulton",5631,3121,1513,807,176,14
"E05008667 : Dodleston and Huntington",1659,951,483,184,40,1
"E05008668 : Ellesmere Port Town",4076,1228,1334,1112,382,20
"E05008669 : Elton",1948,886,641,347,70,4
"E05008670 : Farndon",1718,966,474,246,32,0
"E05008671 : Frodsham",4025,2058,1222,596,143,6
"E05008672 : Garden Quarter",2029,949,739,267,56,18
"E05008673 : Gowy",1633,864,515,212,38,4
"E05008674 : Grange",1948,563,634,546,193,12
"E05008675 : Great Boughton",3895,2011,1146,654,80,4
"E05008676 : Handbridge Park",4094,2320,1180,481,107,6
"E05008677 : Hartford and Greenbank",3479,1904,1039,434,96,6
"E05008678 : Helsby",2143,1108,680,306,46,3
"E05008679 : Hoole",4100,2268,1077,595,146,14
"E05008680 : Kingsley",1720,986,502,197,33,2
"E05008681 : Lache",2514,1035,729,509,219,22
"E05008682 : Ledsham and Manor",3168,1749,975,407,35,2
"E05008683 : Little Neston and Burton",3677,1896,1219,476,80,6
"E05008684 : Malpas",1709,801,543,324,41,0
"E05008685 : Marbury",5097,2541,1575,816,155,10
"E05008686 : Neston",1940,770,614,443,99,14
"E05008687 : Netherpool",1457,479,458,404,108,8
"E05008688 : Newton",4341,2170,1338,670,150,13
"E05008689 : Parkgate",1639,913,494,200,30,2
"E05008690 : Rossmore",1918,582,616,499,206,15
"E05008691 : St Paul's",3993,1517,1261,977,231,7
"E05008692 : Saughall and Mollington",1837,892,612,283,46,4
"E05008693 : Shakerley",1716,822,540,295,54,5
"E05008694 : Strawberry",2017,1199,558,238,22,0
"E05008695 : Sutton",3840,1640,1234,779,174,13
"E05008696 : Tarporley",1924,1076,541,258,47,2
