QS102EW - Population density,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,
,,
population,All usual residents,
E05008039 : Cramlington North,"5,380",40.7
E05008040 : Cramlington South East,"3,850",25.7
E05008041 : Cramlington Village,"4,503",23.6
E05008042 : Cramlington West,"5,312",3.6
E05008043 : Croft,"4,692",53.3
E05008044 : Haltwhistle,"4,832",0.2
E05008045 : Hartley,"4,923",5.5
E05008046 : Haydon,"4,639",31.8
E05008047 : Haydon and Hadrian,"4,454",0.2
E05008048 : Hexham Central with Acomb,"4,353",3.4
E05008049 : Hexham East,"4,185",7.4
E05008050 : Hexham West,"4,559",2.7
E05008051 : Hirst,"5,572",11.3
E05008052 : Holywell,"5,039",7.8
E05008053 : Humshaugh,"4,568",0.1
E05008054 : Isabella,"4,835",50.1
E05008055 : Kitty Brewster,"5,494",9.8
E05008056 : Lesbury,"5,069",0.6
E05008057 : Longhoughton,"4,424",0.2
E05008058 : Lynemouth,"4,842",2.6
E05008059 : Morpeth Kirkhill,"5,207",17.1
E05008060 : Morpeth North,"4,416",12.3
E05008061 : Morpeth Stobhill,"4,115",17.9
E05008062 : Newbiggin Central and East,"4,710",7.5
E05008063 : Newsham,"4,742",8.7
E05008064 : Norham and Islandshires,"4,438",0.1
E05008065 : Pegswood,"3,869",2.4
E05008066 : Plessey,"3,998",54.8
E05008067 : Ponteland East,"4,600",0.5
E05008068 : Ponteland North,"4,454",0.2
E05008069 : Ponteland South with Heddon,"4,295",1.9
E05008070 : Ponteland West,"4,406",0.5
E05008071 : Prudhoe East,"5,829",10.5
E05008072 : Prudhoe West,"5,024",14.9
E05008073 : Rothbury,"5,316",0.1
E05008074 : Seaton with Newbiggin West,"4,632",10.2
E05008075 : Seghill with Seaton Delaval,"5,460",4.2
E05008076 : Shilbottle,"4,925",0.5
E05008077 : Sleekburn,"3,998",4.3
E05008078 : South Blyth,"4,564",17.5
E05008079 : South Tynedale,"4,856",0.1
E05008080 : Stakeford,"4,672",11.5
E05008081 : Stocksfield and Broomhaugh,"4,799",1.5
E05008082 : Ulgham,"5,238",0.7
E05008083 : Wensleydale,"4,548",33.0
E05008084 : Wooler,"4,266",0.1
E05001505 : Brotton,"7,000",7.1
E05001506 : Coatham,"5,326",50.1
E05001507 : Dormanstown,"6,755",2.0
E05001508 : Eston,"7,005",15.4
E05001509 : Grangetown,"5,088",25.7
E05001510 : Guisborough,"7,622",2.3
E05001511 : Hutton,"7,191",3.5
E05001512 : Kirkleatham,"7,045",45.2
E05001513 : Lockwood,"2,022",0.7
E05001514 : Loftus,"6,382",1.6
E05001515 : Longbeck,"7,061",8.2
E05001516 : Newcomen,"4,359",47.1
E05001517 : Normanby,"6,930",26.2
E05001518 : Ormesby,"5,942",16.5
E05001519 : St Germain's,"6,115",16.5
E05001520 : Saltburn,"5,958",19.4
E05001521 : Skelton,"7,454",5.4
E05001522 : South Bank,"6,548",12.8
E05001523 : Teesville,"6,517",44.3
E05001524 : West Dyke,"7,616",33.3
E05001525 : Westworth,"4,650",2.1
E05001526 : Zetland,"4,591",47.6
E05001527 : Billingham Central,"7,244",44.9
E05001528 : Billingham East,"7,574",17.1
E05001529 : Billingham North,"9,141",46.0
E05001530 : Billingham South,"6,762",2.3
E05001531 : Billingham West,"5,444",26.6
E05001532 : Bishopsgarth and Elm Tree,"6,689",31.4
E05001533 : Eaglescliffe,"10,449",4.7
E05001534 : Fairfield,"5,736",28.9
E05001535 : Grangefield,"6,717",34.7
E05001536 : Hardwick,"6,881",33.9
E05001537 : Hartburn,"6,615",14.3
E05001538 : Ingleby Barwick East,"10,165",7.3
E05001539 : Ingleby Barwick West,"10,880",28.7
E05001540 : Mandale and Victoria,"11,260",25.4
E05001541 : Newtown,"7,410",39.3
E05001542 : Northern Parishes,"3,361",1.2
E05001543 : Norton North,"6,700",45.4
E05001544 : Norton South,"7,843",25.6
E05001545 : Norton West,"6,286",25.4
E05001546 : Parkfield and Oxbridge,"7,840",15.9
E05001547 : Roseworth,"7,500",42.7
E05001548 : Stainsby Hill,"6,518",19.7
E05001549 : Stockton Town Centre,"6,512",16.5
E05001550 : Village,"6,963",34.8
E05001551 : Western Parishes,"3,375",0.9
E05001552 : Yarm,"9,745",5.4
E05001067 : Birtley,"8,367",21.9
E05001068 : Blaydon,"10,365",20.0
E05001069 : Bridges,"9,012",31.7
E05001070 : Chopwell and Rowlands Gill,"9,395",4.8
E05001071 : Chowdene,"9,091",54.9
E05001072 : Crawcrook and Greenside,"8,841",5.5
E05001073 : Deckham,"9,938",62.9
E05001074 : Dunston and Teams,"9,127",28.9
E05001075 : Dunston Hill and Whickham East,"9,199",21.1
E05001076 : Felling,"8,908",29.8
E05001077 : High Fell,"9,716",40.9
E05001078 : Lamesley,"8,862",3.5
E05001079 : Lobley Hill and Bensham,"10,638",23.0
E05001080 : Low Fell,"8,636",48.7
E05001081 : Pelaw and Heworth,"9,100",27.8
"E05001082 : Ryton, Crookhill and Stella","8,146",16.5
E05001083 : Saltwell,"9,659",62.4
E05001084 : Wardley and Leam Lane,"8,327",19.3
E05001085 : Whickham North,"8,451",22.2
E05001086 : Whickham South and Sunniside,"8,313",5.7
E05001087 : Windy Nook and Whitehills,"9,781",37.0
E05001088 : Winlaton and High Spen,"8,342",7.1
E05001089 : Benwell and Scotswood,"12,694",31.0
E05001090 : Blakelaw,"11,507",47.2
E05001091 : Byker,"12,206",40.9
E05001092 : Castle,"10,069",4.6
E05001093 : Dene,"9,667",33.7
E05001094 : Denton,"10,500",46.2
E05001095 : East Gosforth,"10,145",47.7
E05001096 : Elswick,"13,198",48.1
E05001097 : Fawdon,"10,090",48.4
E05001098 : Fenham,"10,954",47.5
E05001099 : Kenton,"11,605",41.2
E05001100 : Lemington,"10,228",24.2
E05001101 : Newburn,"9,536",10.4
E05001102 : North Heaton,"9,574",44.2
E05001103 : North Jesmond,"10,813",79.8
E05001104 : Ouseburn,"11,352",83.0
E05001105 : Parklands,"9,971",12.6
E05001106 : South Heaton,"9,964",103.3
E05001107 : South Jesmond,"10,849",42.2
E05001108 : Walker,"11,701",41.7
E05001109 : Walkergate,"9,463",36.8
E05001110 : Westerhope,"9,196",35.9
E05001111 : Westgate,"10,059",39.4
E05001112 : West Gosforth,"9,991",33.3
E05001113 : Wingrove,"13,685",41.7
E05001114 : Woolsington,"11,160",6.1
E05001115 : Battle Hill,"10,717",39.4
E05001116 : Benton,"10,359",36.0
E05001117 : Camperdown,"10,332",19.3
E05001118 : Chirton,"11,925",38.3
E05001119 : Collingwood,"11,067",16.8
E05001120 : Cullercoats,"9,202",48.0
E05001121 : Howdon,"11,129",44.2
E05001122 : Killingworth,"9,746",13.9
E05001123 : Longbenton,"10,617",28.2
E05001124 : Monkseaton North,"9,200",53.7
E05001125 : Monkseaton South,"9,844",45.0
E05001126 : Northumberland,"8,186",27.5
E05001127 : Preston,"8,419",49.0
E05001128 : Riverside,"11,431",22.4
E05001129 : St Mary's,"8,242",11.1
E05001130 : Tynemouth,"10,472",34.1
E05001131 : Valley,"10,972",12.3
E05001132 : Wallsend,"10,304",28.4
E05001133 : Weetslade,"9,221",11.2
E05001134 : Whitley Bay,"9,416",60.2
E05001135 : Beacon and Bents,"9,175",36.9
E05001136 : Bede,"7,621",26.1
E05001137 : Biddick and All Saints,"8,678",48.7
E05001138 : Boldon Colliery,"9,227",12.8
E05001139 : Cleadon and East Boldon,"8,457",8.7
E05001140 : Cleadon Park,"6,890",44.7
E05001141 : Fellgate and Hedworth,"7,783",9.0
E05001142 : Harton,"8,409",54.4
E05001143 : Hebburn North,"8,849",36.8
E05001144 : Hebburn South,"7,643",23.7
E05001145 : Horsley Hill,"9,064",32.9
E05001146 : Monkton,"8,252",38.7
E05001147 : Primrose,"8,001",22.6
E05001148 : Simonside and Rekendyke,"8,628",28.5
E05001149 : Westoe,"8,080",57.9
E05001150 : West Park,"7,663",57.3
E05001151 : Whitburn and Marsden,"7,448",11.4
E05001152 : Whiteleas,"8,259",36.7
E05001153 : Barnes,"10,987",50.6
E05001154 : Castle,"10,968",31.5
E05001155 : Copt Hill,"11,188",8.3
E05001156 : Doxford,"9,870",10.3
E05001157 : Fulwell,"11,604",38.7
E05001158 : Hendon,"12,597",30.6
E05001159 : Hetton,"11,046",7.1
E05001160 : Houghton,"11,241",26.4
E05001161 : Millfield,"11,958",43.6
E05001162 : Pallion,"10,117",41.5
E05001163 : Redhill,"11,388",41.8
E05001164 : Ryhope,"10,484",20.6
E05001165 : St Anne's,"11,067",32.2
E05001166 : St Chad's,"9,449",27.0
E05001167 : St Michael's,"10,998",40.7
E05001168 : St Peter's,"10,605",48.6
E05001169 : Sandhill,"11,128",41.9
E05001170 : Shiney Row,"12,549",8.9
E05001171 : Silksworth,"10,531",30.7
E05001172 : Southwick,"10,535",27.0
E05001173 : Washington Central,"11,041",31.5
E05001174 : Washington East,"10,772",14.9
E05001175 : Washington North,"11,297",9.7
E05001176 : Washington South,"10,253",28.3
E05001177 : Washington West,"11,833",17.0
E05001620 : Audley,"9,183",57.5
E05001621 : Bastwell,"7,699",104.2
E05001622 : Beardwood with Lammack,"5,997",12.6
E05001623 : Corporation Park,"7,353",62.4
E05001624 : Earcroft,"4,339",18.0
E05001625 : East Rural,"1,924",1.7
E05001626 : Ewood,"6,927",52.1
E05001627 : Fernhurst,"5,928",23.2
E05001628 : Higher Croft,"7,840",35.5
E05001629 : Little Harwood,"6,752",21.3
E05001630 : Livesey with Pleasington,"6,648",5.9
E05001631 : Marsh House,"6,415",16.8
E05001632 : Meadowhead,"5,743",34.5
E05001633 : Mill Hill,"6,387",48.6
E05001634 : North Turton with Tockholes,"4,345",0.7
E05001635 : Queen's Park,"6,798",17.8
E05001636 : Roe Lee,"6,122",24.2
E05001637 : Shadsworth with Whitebirk,"8,511",40.5
E05001638 : Shear Brow,"7,908",62.7
E05001639 : Sudell,"7,030",40.1
E05001640 : Sunnyhurst,"6,183",14.8
E05001641 : Wensley Fold,"7,378",52.0
E05001642 : Whitehall,"4,079",5.3
E05001643 : Anchorsholme,"6,342",47.4
E05001644 : Bispham,"6,375",41.3
E05001645 : Bloomfield,"6,927",59.9
E05001646 : Brunswick,"7,138",84.6
E05001647 : Claremont,"7,478",65.4
E05001648 : Clifton,"6,910",30.5
E05001649 : Greenlands,"6,865",33.4
E05001650 : Hawes Side,"7,235",72.3
E05001651 : Highfield,"6,457",63.0
E05001652 : Ingthorpe,"6,761",34.8
E05001653 : Layton,"6,845",52.1
E05001654 : Marton,"6,852",15.8
E05001655 : Norbreck,"6,206",33.9
E05001656 : Park,"7,261",30.8
E05001657 : Squires Gate,"6,437",60.7
E05001658 : Stanley,"6,530",16.5
E05001659 : Talbot,"6,618",56.1
E05001660 : Tyldesley,"6,661",72.3
E05001661 : Victoria,"6,808",66.5
E05001662 : Warbreck,"6,666",59.0
E05001663 : Waterloo,"6,693",45.9
E05008610 : Alderley Edge,"4,780",11.6
E05008611 : Alsager,"11,775",13.0
E05008612 : Audlem,"4,795",0.6
E05008613 : Bollington,"8,310",10.4
E05008614 : Brereton Rural,"4,903",0.5
E05008615 : Broken Cross and Upton,"8,619",20.3
E05008616 : Bunbury,"4,792",0.5
E05008617 : Chelford,"3,858",0.8
E05008618 : Congleton East,"13,341",7.8
E05008619 : Congleton West,"13,141",24.0
E05008620 : Crewe Central,"5,308",45.1
E05008621 : Crewe East,"15,339",17.5
E05008622 : Crewe North,"4,834",51.8
E05008623 : Crewe St Barnabas,"5,659",34.0
E05008624 : Crewe South,"11,590",49.5
E05008625 : Crewe West,"10,640",37.8
E05008626 : Dane Valley,"9,160",3.2
E05008627 : Disley,"4,294",4.8
E05008628 : Gawsworth,"3,832",0.4
E05008629 : Handforth,"9,139",17.6
E05008630 : Haslington,"8,054",2.3
E05008631 : High Legh,"4,383",0.6
E05008632 : Knutsford,"13,191",13.1
E05008633 : Leighton,"5,414",53.2
E05008634 : Macclesfield Central,"9,018",46.5
E05008635 : Macclesfield East,"4,274",13.8
E05008636 : Macclesfield Hurdsfield,"4,518",26.8
E05008637 : Macclesfield South,"8,504",26.2
E05008638 : Macclesfield Tytherington,"8,821",25.2
E05008639 : Macclesfield West and Ivy,"8,290",43.7
E05008640 : Middlewich,"13,595",17.0
E05008641 : Mobberley,"4,734",0.8
E05008642 : Nantwich North and West,"8,617",25.5
E05008643 : Nantwich South and Stapeley,"8,807",10.5
E05008644 : Odd Rode,"8,313",2.2
E05008645 : Poynton East and Pott Shrigley,"7,688",2.2
E05008646 : Poynton West and Adlington,"8,507",4.2
E05008647 : Prestbury,"4,282",1.5
E05008648 : Sandbach Elworth,"4,412",19.9
E05008649 : Sandbach Ettiley Heath and Wheelock,"4,409",9.5
E05008650 : Sandbach Heath and East,"4,291",14.2
E05008651 : Sandbach Town,"4,864",9.5
E05008652 : Shavington,"3,822",8.9
E05008653 : Sutton,"4,311",0.5
E05008654 : Willaston and Rope,"4,731",11.9
E05008655 : Wilmslow Dean Row,"4,479",13.4
E05008656 : Wilmslow East,"4,257",7.1
E05008657 : Wilmslow Lacey Green,"4,718",8.1
E05008658 : Wilmslow West and Chorley,"9,717",7.9
E05008659 : Wistaston,"9,202",10.1
E05008660 : Wrenbury,"4,541",0.4
E05008661 : Wybunbury,"5,254",1.0
E05008662 : Blacon,"13,626",30.1
E05008663 : Boughton,"5,444",52.0
E05008664 : Chester City,"3,853",24.5
E05008665 : Chester Villages,"8,548",2.5
E05008666 : Davenham and Moulton,"13,569",7.5
E05008667 : Dodleston and Huntington,"3,958",1.0
E05008668 : Ellesmere Port Town,"9,103",4.6
E05008669 : Elton,"4,557",2.4
E05008670 : Farndon,"4,011",0.5
E05008671 : Frodsham,"9,077",4.3
E05008672 : Garden Quarter,"5,318",38.8
E05008673 : Gowy,"3,924",0.8
E05008674 : Grange,"4,649",46.3
E05008675 : Great Boughton,"8,984",31.1
E05008676 : Handbridge Park,"8,840",16.5
E05008677 : Hartford and Greenbank,"8,360",12.6
E05008678 : Helsby,"4,972",9.0
E05008679 : Hoole,"9,359",53.8
E05008680 : Kingsley,"4,222",1.1
E05008681 : Lache,"5,760",48.5
E05008682 : Ledsham and Manor,"7,796",23.6
E05008683 : Little Neston and Burton,"8,485",2.9
E05008684 : Malpas,"3,975",0.6
E05008685 : Marbury,"12,069",2.4
E05008686 : Neston,"4,329",8.3
E05008687 : Netherpool,"3,287",21.2
E05008688 : Newton,"9,556",46.9
E05008689 : Parkgate,"3,591",4.6
E05008690 : Rossmore,"3,808",7.0
E05008691 : St Paul's,"9,256",29.9
E05008692 : Saughall and Mollington,"4,463",1.3
E05008693 : Shakerley,"4,214",0.8
E05008694 : Strawberry,"5,086",44.4
E05008695 : Sutton,"9,176",48.5
E05008696 : Tarporley,"4,398",1.1
E05008697 : Tarvin and Kelsall,"8,217",1.3
E05008698 : Tattenhall,"4,374",0.5
E05008699 : Upton,"8,905",14.4
E05008700 : Weaver and Cuddington,"12,779",4.1
E05008701 : Whitby,"8,102",29.0
E05008702 : Willaston and Thornton,"3,825",2.7
E05008703 : Winnington and Castle,"9,271",15.6
E05008704 : Winsford Over and Verdin,"13,414",5.0
E05008705 : Winsford Swanlow and Dene,"9,012",6.1
E05008706 : Winsford Wharton,"9,765",5.2
E05008707 : Witton and Rudheath,"8,321",13.9
E05001577 : Appleton,"6,789",41.9
E05001578 : Beechwood,"3,673",27.2
E05001579 : Birchfield,"6,909",37.7
E05001580 : Broadheath,"6,164",52.4
E05001581 : Halton Castle,"6,138",13.4
E05001582 : Daresbury,"4,501",2.3
E05001583 : Ditton,"7,326",10.2
E05001584 : Farnworth,"7,308",15.1
E05001585 : Grange,"6,923",48.9
E05001586 : Hale,"1,841",3.2
E05001587 : Halton Brook,"6,605",46.2
E05001588 : Halton Lea,"6,670",31.6
E05001589 : Halton View,"6,745",20.2
E05001590 : Heath,"5,861",8.2
E05001591 : Hough Green,"6,861",51.3
E05001592 : Kingsway,"6,600",32.2
E05001593 : Mersey,"7,406",28.3
E05001594 : Norton North,"6,720",27.0
E05001595 : Norton South,"6,772",39.7
E05001596 : Riverside,"5,519",12.3
E05001597 : Windmill Hill,"2,415",20.9
E05001598 : Appleton,"10,636",8.0
E05001599 : Bewsey and Whitecross,"12,339",16.5
E05001600 : Birchwood,"10,701",13.2
E05001601 : Burtonwood and Winwick,"6,348",3.5
"E05001602 : Culcheth, Glazebury and Croft","11,690",4.4
E05001603 : Fairfield and Howley,"13,015",46.8
E05001604 : Grappenhall and Thelwall,"9,687",10.6
E05001605 : Great Sankey North,"6,339",47.9
E05001606 : Great Sankey South,"10,588",38.9
"E05001607 : Hatton, Stretton and Walton","3,084",2.2
E05001608 : Latchford East,"8,134",32.9
E05001609 : Latchford West,"6,770",27.0
E05001610 : Lymm,"12,350",7.3
E05001611 : Orford,"10,618",51.8
E05001612 : Penketh and Cuerdley,"8,543",6.3
E05001613 : Poplars and Hulme,"10,528",29.6
E05001614 : Poulton North,"10,266",34.9
E05001615 : Poulton South,"6,485",28.3
E05001616 : Rixton and Woolston,"9,116",4.5
E05001617 : Stockton Heath,"6,391",44.8
E05001618 : Westbrook,"6,446",14.8
E05001619 : Whittle Hall,"12,154",25.4
E05003114 : All Saints,"4,824",7.7
E05003115 : Aspatria,"3,380",1.6
E05003116 : Boltons,"1,832",0.1
E05003117 : Broughton St Bridget's,"4,178",1.1
E05003118 : Christchurch,"3,339",16.9
E05003119 : Clifton,"1,594",1.9
E05003120 : Crummock,"1,572",0.1
E05003121 : Dalton,"1,858",0.5
E05003122 : Derwent Valley,"1,615",0.1
E05003123 : Ellen,"3,264",1.8
E05003124 : Ellenborough,"3,810",24.9
E05003125 : Ewanrigg,"3,447",3.8
E05003126 : Flimby,"1,707",2.5
E05003127 : Harrington,"3,167",2.0
E05003128 : Holme,"1,728",0.3
E05003129 : Keswick,"5,243",0.7
E05003130 : Marsh,"1,608",0.3
E05003131 : Moorclose,"4,978",38.8
E05003132 : Moss Bay,"4,979",19.8
E05003133 : Netherhall,"3,081",10.7
E05003134 : St John's,"5,439",17.8
E05003135 : St Michael's,"5,187",10.8
E05003136 : Seaton,"5,196",3.7
E05003137 : Silloth,"3,268",1.0
E05003138 : Solway,"1,631",0.3
E05003139 : Stainburn,"1,694",4.9
E05003140 : Wampool,"1,683",0.4
E05003141 : Warnell,"1,940",0.1
E05003142 : Waver,"1,803",0.2
E05003143 : Wharrels,"1,546",0.3
E05003144 : Wigton,"5,831",12.6
E05003145 : Barrow Island,"2,616",9.1
E05003146 : Central,"4,583",50.9
E05003147 : Dalton North,"6,135",2.3
E05003148 : Dalton South,"6,207",10.5
E05003149 : Hawcoat,"4,922",10.8
E05003150 : Hindpool,"5,851",30.1
E05003151 : Newbarns,"5,487",19.5
E05003152 : Ormsgill,"6,033",13.2
E05003153 : Parkside,"5,584",45.5
E05003154 : Risedale,"6,294",66.7
E05003155 : Roosecote,"4,724",3.9
E05003156 : Walney North,"5,344",8.9
E05003157 : Walney South,"5,307",7.3
E05003158 : Belah,"6,149",17.0
E05003159 : Belle Vue,"6,491",33.5
E05003160 : Botcherby,"6,194",25.5
E05003161 : Brampton,"4,627",1.7
E05003162 : Burgh,"2,117",0.4
E05003163 : Castle,"5,854",19.1
E05003164 : Currock,"6,218",42.8
E05003165 : Dalston,"6,051",0.7
E05003166 : Denton Holme,"6,383",27.4
E05003167 : Great Corby and Geltsdale,"2,157",0.2
E05003168 : Harraby,"6,713",32.4
E05003169 : Hayton,"2,064",1.0
E05003170 : Irthing,"2,002",0.1
E05003171 : Longtown & Rockcliffe,"4,123",0.3
E05003172 : Lyne,"1,933",0.1
E05003173 : Morton,"5,825",38.7
E05003174 : St Aidans,"6,126",53.9
E05003175 : Stanwix Rural,"4,639",0.6
E05003176 : Stanwix Urban,"5,934",22.3
E05003177 : Upperby,"5,476",40.7
E05003178 : Wetheral,"4,541",1.0
E05003179 : Yewdale,"5,907",38.6
E05003180 : Arlecdon,"1,500",0.7
E05003181 : Beckermet,"3,024",0.6
E05003182 : Bootle,"1,300",0.2
E05003183 : Bransty,"5,009",13.9
E05003184 : Cleator Moor North,"4,120",11.1
E05003185 : Cleator Moor South,"2,816",3.4
E05003186 : Distington,"4,058",2.3
E05003187 : Egremont North,"4,456",5.2
E05003188 : Egremont South,"3,738",7.8
E05003189 : Ennerdale,"1,025",0.1
E05003190 : Frizington,"2,558",3.0
E05003191 : Gosforth,"1,396",0.2
E05003192 : Harbour,"4,105",28.6
E05003193 : Haverigg,"1,849",3.5
E05003194 : Hensingham,"4,145",15.6
E05003195 : Hillcrest,"2,685",40.7
E05003196 : Holborn Hill,"2,481",12.0
E05003197 : Kells,"2,437",15.3
E05003198 : Millom Without,"1,369",0.1
E05003199 : Mirehouse,"4,498",19.6
E05003200 : Moresby,"1,448",2.1
E05003201 : Newtown,"3,499",6.9
E05003202 : St Bees,"1,801",1.2
E05003203 : Sandwith,"2,463",3.1
E05003204 : Seascale,"2,823",0.2
E05003205 : Alston Moor,"2,088",0.1
E05003206 : Appleby (Appleby),"1,293",3.2
E05003207 : Appleby (Bongate),"1,755",4.9
E05003208 : Askham,"1,432",0.1
E05003209 : Brough,"1,317",0.1
E05003210 : Crosby Ravensworth,"1,396",0.1
